Qual é o seu sexo?,Masculino,Feminino.,,,,,,,,,,
Como você se considera?,Branco(a).,Pardo(a).,Preto(a).,Amarelo(a).,Indígena.,Não Sei.,,,,,,
Você poderia nos dizer qual é o mês de seu aniversário?,Janeiro.,Fevereiro.,Março.,Abril.,Maio.,Junho.,Julho.,Agosto.,Setembro.,Outubro.,Novembro.,Dezembro.
Qual a sua idade?,8 anos ou menos.,9 anos.,10 anos.,11 anos.,12 anos.,13 anos.,14 anos.,15 anos ou mais,,,,
Na sua casa tem televisão em cores?,Não tem.,"Sim, uma.","Sim, duas.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem aparelho de rádio?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem videocassete e/ou DVD?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem geladeira?,Não tem.,"Sim, uma.","Sim, duas.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem freezer (parte da geladeira duplex)?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem freezer separado da geladeira?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem máquina de lavar roupa (O tanquinho NÃO deve ser considerado)?,Não tem.,"Sim, uma.","Sim, duas.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem carro?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem computador?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem banheiro?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
Na sua casa tem quartos para dormir?,Não tem.,"Sim, um.","Sim, dois.","Sim, três.","Sim, quatro ou mais.",,,,,,,
"Incluindo você, quantas pessoas vivem atualmente em sua casa?","Uma, pois moro sozinho(a).",Duas.,Três.,Quatro.,Cinco.,Seis pessoas ou mais.,,,,,,
Em sua casa trabalha empregado(a) doméstico(a) pelo menos cinco dias por semana?,Não.,"Sim, um(a) empregado(a).","Sim, dois(duas) empregados(as).","Sim, três empregados(as).","Sim, quatro ou mais empregados(as).",,,,,,,
Você mora com sua mãe?,Sim.,Não.,"Não, mas moro com outra mulher responsável por mim.",,,,,,,,,
"Até que série sua mãe, ou a mulher responsável por você, estudou?",Nunca estudou.,Não completou a 4.ª série/5.º ano.,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.","Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.","Completou o Ensino Médio, mas não completou a Faculdade.",Completou a Faculdade.,Não sei.,,,,,
"Sua mãe, ou a mulher responsável por você, sabe ler e escrever?",Sim.,Não.,,,,,,,,,,
"Você vê sua mãe, ou mulher responsável por você, lendo?",Sim.,Não.,,,,,,,,,,
Você mora com seu pai?,Sim.,Não.,"Não, mas moro com outro homem responsável por mim.",,,,,,,,,
"Até que série seu pai, ou o homem responsável por você, estudou?",Nunca estudou.,Não completou a 4.ª série/5.º ano.,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano.","Completou a 8.ª série/9.º ano, mas não completou o Ensino Médio.","Completou o Ensino Médio, mas não completou a Faculdade.",Completou a Faculdade.,Não sei.,,,,,
"Seu pai, ou homem responsável por você, sabe ler e escrever?",Sim.,Não.,,,,,,,,,,
"Você vê o seu pai, ou homem responsável por você, lendo?",Sim.,Não.,,,,,,,,,,
"Com qual frequência seus pais, ou responsáveis por você, vão à reunião de pais?",Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
Seus pais ou responsáveis incentivam você a estudar?,Sim.,Não.,,,,,,,,,,
Seus pais ou responsáveis incentivam você a fazer o dever de casa e/ou os trabalhos da escola?,Sim.,Não.,,,,,,,,,,
Seus pais ou responsáveis incentivam você a ler?,Sim.,Não.,,,,,,,,,,
Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?,Sim.,Não.,,,,,,,,,,
Seus pais ou responsáveis conversam com você sobre o que acontece na escola?,Sim.,Não.,,,,,,,,,,
Com qual frequência você lê: Jornais.,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
Com qual frequência você lê: Livros.,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
Com qual frequência você lê: Revistas em geral.,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
Com qual frequência você lê: Revistas em quadrinhos (gibis).,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
"Com qual frequência você lê: Notícias na internet (ex.: blog, notícia).Com qual frequência você lê: Notícias na internet (ex.: blog, notícia).",Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
Com qual frequência você costuma ir à/ao: Biblioteca.,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
Com qual frequência você costuma ir à/ao: Cinema.,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
"Com qual frequência você costuma ir à/ao: Espetáculo ou exposição (teatro, museu, dança ou música).",Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,,,,,,,,,
"Em dia de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?",Menos de 1 hora.,Entre 1 e 2 horas.,"Mais de 2 horas, até 3 horas.",Mais de 3 horas.,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos.",,,,,,,
"Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos (ex.: lavando louça, limpando o quintal etc.)?",Menos de 1 hora.,Entre 1 e 2 horas.,"Mais de 2 horas, até 3 horas.",Mais de 3 horas.,Não faço trabalhos domésticos.,,,,,,,
Atualmente você trabalha fora de casa (recebendo ou não um salário)?,Sim.,Não.,,,,,,,,,,
Quando você entrou na escola?,Na creche (0 a 3 anos).,Na pré-escola (4 a 5 anos).,Na primeira série ou primeiro ano (6 a 7 anos).,Depois da primeira série.,,,,,,,,
"A partir da primeira série ou primeiro ano, em que tipo de escola você estudou?",Somente em escola pública.,Somente em escola particular.,Em escola pública e em escola particular.,,,,,,,,,
Você já foi reprovado?,Não.,"Sim, uma vez.","Sim, duas vezes ou mais.",,,,,,,,,
Você já abandonou a escola durante o período de aulas e ficou fora da escola o resto do ano?,Não.,"Sim, uma vez.","Sim, duas vezes ou mais.",,,,,,,,,
Você faz o dever de casa de Língua Portuguesa?,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,O(A) professor(a) não passa dever de casa.,,,,,,,,
O(A) professor(a) corrige o dever de casa de Língua Portuguesa?,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,O(A) professor(a) não passa dever de casa.,,,,,,,,
Você faz o dever de casa de Matemática?,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,O(A) professor(a) não passa dever de casa.,,,,,,,,
O(A) professor(a) corrige o dever de casa de Matemática?,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,O(A) professor(a) não passa dever de casa.,,,,,,,,
Você utiliza a biblioteca ou sala de leitura da sua escola?,Sempre ou quase sempre.,De vez em quando.,Nunca ou quase nunca.,A escola não possui biblioteca ou sala de leitura.,,,,,,,,
